Blair,Calvo,COL,1,11,6,5,0,0,0,0,3.29,0,3.29,0,0,0,19.8,0.67,129,25416,663971,0
Isaiah,Campbell,SEA,1,13,6,7,0,0.33,0,0,1.29,0,4.48,0,0,0,15.4,0.5,73,25551,663462,3
Griffin,Canning,LAA,74,1241,429,812,4.62,0.23,0.07,1.82,5.06,107,4.11,-0.2,0.4,0.9,19.9,0.47,92,19867,656288,0
Yennier,Cano,BAL,42.2,584,193,391,1.48,0.24,0.04,0.21,2.37,35,2.78,3.04,1.4,2.4,19.7,0.35,88,25911,666974,0
Matt,Carasiti,COL,21.2,373,143,230,7.06,0.14,0.11,1.25,5.46,141,4.91,0.48,-0.1,-0.5,21,0.37,86,13276,571539,0
Drew,Carlton,SDP,20.2,330,108,222,4.35,0.21,0.07,0.87,3.82,105,4.11,-0.71,0.2,-0.1,17.1,0.37,85,19868,656290,4
Carlos,Carrasco,NYM,61,1027,409,618,5.16,0.16,0.1,1.77,5.96,127,5.08,-1.16,-0.3,0.1,18.1,0.45,92,6632,471911,0
Daniel,Castano,MIA,1,22,9,13,27,0.33,0.17,18,28.29,638,7.08,-0.02,-0.1,-0.1,18.3,0.67,71,19805,641447,0
Luis,Castillo,SEA,107.1,1739,578,1161,2.85,0.27,0.06,1.26,3.79,71,3.7,-0.04,1.9,2.4,16.5,0.43,97,15689,622491,0
Max,Castillo,KCR,14,246,89,157,5.14,0.14,0.1,1.29,5.36,118,5.33,-0.41,-0.1,0,19.8,0.34,96,21956,666721,1
Diego,Castillo,SEA,8.2,162,60,102,6.23,0.17,0.17,2.08,7.44,154,6.47,-0.12,-0.2,-0.1,17.8,0.35,82,17496,650895,0
Jose,Castillo,SDP,0.1,23,15,8,108,0,0.33,0,30.29,2593,35.08,-0.03,0,-0.2,17.7,0.33,104,17169,620454,0
Willi,Castro,MIN,1.1,14,7,7,0,0,0,0,3.29,0,4.49,0,0,0,13,0.25,26,17338,650489,2
Miguel,Castro,ARI,36.1,559,195,364,3.47,0.2,0.1,0.99,4.36,79,4.56,0.47,0.2,0.8,17.3,0.22,99,15684,612434,0
Harold,Castro,COL,2,29,12,17,9,0,0.09,0,6.29,180,9.48,0,0,0,11.1,0.56,,14691,605612,1
Dylan,Cease,CHW,102.2,1860,700,1160,4.3,0.28,0.09,1.05,3.78,101,3.9,-0.66,2,1.1,18.9,0.46,113,18525,656302,1
Luis,Cessa,CIN,26,465,172,293,9,0.08,0.09,1.04,5.44,194,5.6,-1.04,0.1,-0.6,17.4,0.46,84,13345,570666,1
Andrew,Chafin,ARI,30.1,527,200,327,3.26,0.34,0.1,0.89,2.89,74,2.82,-0.08,0.8,0.6,20.2,0.33,100,12988,605177,3
Aroldis,Chapman,- - -,32.1,568,214,354,2.23,0.43,0.15,0,1.62,51,2.46,0.53,1.4,1,19.6,0.31,136,10233,547973,0
JT,Chargois,MIA,21.1,344,129,215,3.38,0.2,0.1,0.42,3.57,80,4.01,0.29,0.2,0.3,19.1,0.26,106,13767,608638,1
Jesse,Chavez,ATL,29,492,178,314,1.55,0.31,0.08,0.31,2.49,35,2.98,0.27,0.8,1.2,16.3,0.35,103,5448,445926,2
Chi,Chi Gonzalez,MIA,2.2,50,19,31,3.38,0.15,0.08,0,2.91,80,4.11,-0.01,0,0,22.5,0.7,78,14663,592346,1
Yonny,Chirinos,TBR,58,899,337,562,3.88,0.12,0.08,1.09,5.06,96,5.4,-0.45,-0.1,0.5,17.8,0.46,99,16401,630023,0
Adam,Cimber,TOR,20.2,373,127,246,7.4,0.13,0.07,2.61,7.5,176,5.35,-1.17,-0.6,-0.7,17.3,0.47,112,15288,643256,1
Jose,Cisnero,DET,33,536,187,349,3.55,0.25,0.1,1.09,4.23,85,4.49,-0.78,0.1,0.1,20.1,0.36,108,6399,542585,2
Aaron,Civale,CLE,52.2,843,295,548,2.56,0.21,0.08,0.68,3.63,60,4.4,1.11,1,1.9,16.8,0.34,110,19479,650644,3
Taylor,Clarke,KCR,37.2,696,244,452,5.97,0.24,0.1,1.91,5.31,137,4.88,-0.91,-0.3,-0.5,19.9,0.42,104,17611,664199,0
Emmanuel,Clase,CLE,42.2,658,217,441,3.38,0.22,0.07,0.42,2.96,80,3.47,-1.07,1,0.1,18.6,0.39,157,21032,661403,0
Alex,Claudio,MIL,0.1,4,0,4,0,0,0,0,3.29,0,3.29,-0.02,0,0,14,1,100,12890,592222,0
Garrett,Cleavinger,TBR,12,211,84,127,3,0.29,0.13,1.5,4.87,75,4.3,-0.56,-0.1,0.2,21.7,0.26,102,17897,664076,0
Kody,Clemens,PHI,2.2,41,18,23,3.38,0.07,0.2,0,5.91,77,7.71,0,0,0,12.8,0,-82,20572,665019,4
Ernie,Clement,TOR,1,20,6,14,9,0,0,0,6.29,214,7.89,0,0,0,13.3,0.67,,20352,676391,2
Mike,Clevinger,CHW,62.2,1083,406,677,3.88,0.19,0.1,1.29,4.9,91,5.45,0.34,0.7,1.3,20.9,0.36,99,12808,605182,2
Alex,Cobb,SFG,89.2,1467,513,954,2.91,0.23,0.06,0.6,3.04,68,3.22,1.12,2.1,2.6,18.6,0.45,88,6562,502171,0
Gerrit,Cole,NYY,117,1885,638,1247,2.85,0.26,0.07,0.85,3.43,68,3.88,1.67,2.4,3.4,18.4,0.4,123,13125,543037,1
Dylan,Coleman,KCR,6.2,139,65,74,14.85,0.22,0.22,1.35,6.44,340,6.17,-0.14,-0.1,-0.4,19.5,0.4,105,22276,669395,4
Alex,Colome,CHW,3,63,25,38,6,0.13,0.2,3,9.29,141,5.49,-0.39,-0.2,-0.3,19.7,0.4,94,6661,517008,0
Roansy,Contreras,PIT,68.1,1145,415,730,6.59,0.18,0.11,1.45,5.22,151,5.16,-1.54,0.1,-0.6,17.8,0.45,98,22810,672710,3
Patrick,Corbin,WSN,101.2,1666,618,1048,5.13,0.15,0.07,1.5,5.13,117,4.62,-1.18,0.7,0.4,17.8,0.46,80,9323,571578,2
